entry,name,SMILES,InChIKey,temperature,ΔΔG.expt.,test
C15,dicyclohexylketone,O=C([13CH1]1CCCCC1)C2CCCCC2,TWXWPPKDQOWNSX-KHWBWMQUSA-N,273,0.8026917544773513,0
B9,dibenzosuberone,O=C1[13c]2ccccc2CCc3ccccc13,BMVWCPGVLSILMU-KCKQSJSWSA-N,273,1.0227972649177022,0
C14,"2,6-dimethyl-4-heptanone",CC(C)[13CH2]C(=O)CC(C)C,PTTPXKJBFFKCEK-HOSYLAQJSA-N,273,1.3304461412441473,0
B8,"10,10-Dimethylanthracen-9(10H)-one",O=C1[13c]2ccccc2C(C)(C)c3ccccc13,GWFCYDIAPRIMLA-KHWBWMQUSA-N,273,2.1795873047595022,0
E1(exo),camphor (exo),O=C1[C@](C)(C2(C)(C))CCC2C1,DSSYKIVIOFKYAU-OMNKOJBGSA-N,273,2.1697308915268367,0
E1(endo),camphor (endo),O=C1[C@@](C)(C2(C)(C))CCC2C1,DSSYKIVIOFKYAU-MHPPCMCBSA-N,273,3.146899727358534,0
E3(endo),fenchone (endo),O=C1[C@@](C)(C2)CCC2C1(C)(C),LHXDLQBQYFFVNW-OMNKOJBGSA-N,273,2.1442643279612725,0
E3(exo),fenchone (exo),O=C1[C@](C)(C2)CCC2C1(C)(C),LHXDLQBQYFFVNW-MHPPCMCBSA-N,273,3.700674570202056,0
A25,"2,2,2-triphenylacetophenone",O=C(c1ccccc1)C(c2ccccc2)(c3ccccc3)c4ccccc4,CFBBKHROQRFCNZ-UHFFFAOYSA-N,273,2.8301120538556637,0
A13,Benzoylacetonitrile,O=C(c1ccccc1)CC#N,ZJRCIQAMTAINCB-UHFFFAOYSA-N,273,-2.1129595512688994,0
E5(exo),Bicyclo[2.2.2]hept-5en-2one(exo),O=C1[C@H]2C=C[C@H](C2)C1,HUQXEIFQYCVOPD-RITPCOANSA-N,273,0.9875977182979492,0
E5(endo),Bicyclo[2.2.2]hept-5en-2one(endo),O=C1[C@@H]2C=C[C@@H](C2)C1,HUQXEIFQYCVOPD-NTSWFWBYSA-N,273,-0.7668173414850362,0
D17,"1,4-Cyclohexanedion monoethyleneketal",O=C1[13CH2]CC2(OCCO2)CC1,VKRKCBWIVLSRBJ-OUBTZVSYSA-N,273,-2.2666243335044904,0
D18(cis),Isopherone Oxide(cis),O=C1[C@@H]2O[C@]2(C)CC(C)(C)C1,ROTNQFPVXVZSRL-IONNQARKSA-N,273,-1.34298941868013,1
D18(trans),Isopherone Oxide(trans),O=C1[C@H]2O[C@@]2(C)CC(C)(C)C1,ROTNQFPVXVZSRL-APPZFPTMSA-N,273,-2.4150802238404143,1
C12,dicyclopropyl ketone,O=C(C1CC1)C2CC2,BIPUHAHGLJKIPK-UHFFFAOYSA-N,273,1.8676716423900361,0
C10,6-methyl-5-hepten-2-one,O=C(C)CCC=C(C)C,UHEPJGULSIKKTP-UHFFFAOYSA-N,273,-0.9096373785584596,0
a1,"5α-Pregnane-3,20-dione (Reduction of diketone to axial-3ol)",O=[13C]1C[C@H]2CC[C@@H]3[C@H]4CC[C@@H](C(=O)C)[C@]4(C)CC[C@H]3[C@]2(C)CC1,XMRPGKVKISIQBV-KEOHVNNOSA-N,273,,1
a2,"5α-Pregnane-3,20-dione (Reduction of diketone to equatorial-3ol)",O=[13C]1C[C@@H]2CC[C@H]3[C@@H]4CC[C@H](C(=O)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,XMRPGKVKISIQBV-RCNOZMPMSA-N,273,,1
a3,"5α-Pregnane-3,20-dione (Reduction of diketone to cis-20ol)",C[13C](=O)[C@@H]1CC[C@@H]2[C@H]3CC[C@@H]4CC(=O)CC[C@@]4(C)[C@@H]3CC[C@@]12(C),XMRPGKVKISIQBV-XAHUAHKPSA-N,273,,1
a4,"5α-Pregnane-3,20-dione (Reduction of diketone to trans-20ol)",C[13C](=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12(C),XMRPGKVKISIQBV-WGDJUOIDSA-N,273,,1
a13,"5α-Pregnane-3,20-dione (Reduction of axial-3 to cis-20ol)",C[13C](=O)[C@@H]1CC[C@@H]2[C@H]3CC[C@@H]4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]12(C),AURFZBICLPNKBZ-LNUOHZHLSA-N,273,,1
a14,"5α-Pregnane-3,20-dione (Reduction of axial-3ol to trans-20ol)",C[13C](=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12(C),AURFZBICLPNKBZ-BKZNRXDMSA-N,273,,1
a23,"5α-Pregnane-3,20-dione (Reduction of equatorial-3ol to cis-20ol)",C[13C](=O)[C@@H]1CC[C@@H]2[C@H]3CC[C@@H]4C[C@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]12(C),AURFZBICLPNKBZ-KRXPQHRASA-N,273,,1
a24,"5α-Pregnane-3,20-dione (Reduction of equatorial-3ol to trans-20ol)",C[13C](=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12(C),AURFZBICLPNKBZ-VYMTVNFKSA-N,273,,1
a41,"5α-Pregnane-3,20-dione (Reduction of trans-20ol to axial-3ol)",O=[13C]1C[C@H]2CC[C@@H]3[C@H]4CC[C@@H]([C@@H](O)C)[C@]4(C)CC[C@H]3[C@]2(C)CC1,DYVGYXXLXQESJE-ASZUNUTGSA-N,273,,1
a42,"5α-Pregnane-3,20-dione (Reduction of trans-20ol to equatorial-3ol)",O=[13C]1C[C@@H]2CC[C@H]3[C@@H]4CC[C@H]([C@H](O)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,DYVGYXXLXQESJE-VMCDEYIWSA-N,273,,1
a31,"5α-Pregnane-3,20-dione (Reduction of cis-20ol to axial-3ol)",O=[13C]1C[C@H]2CC[C@@H]3[C@H]4CC[C@@H]([C@H](O)C)[C@]4(C)CC[C@H]3[C@]2(C)CC1,DYVGYXXLXQESJE-IEPKGJLISA-N,273,,1
a32,"5α-Pregnane-3,20-dione (Reduction of cis-20ol to equatorial-3ol)",O=[13C]1C[C@@H]2CC[C@H]3[C@@H]4CC[C@H]([C@@H](O)C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,DYVGYXXLXQESJE-FXIFETPDSA-N,273,,1
b1,"24-nor-5β-chol-22-ene-3,6-dione (diketone to trans-3ol)",O=[13C]1C[C@@H]2C(=O)C[C@@H]3[C@H]4CC[C@@H]([C@@H](C)C=C)[C@]4(C)CC[C@H]3[C@]2(C)CC1,FKXQMWVVHBPGAM-YDEWJKEYSA-N,273,,1
b2,"24-nor-5β-chol-22-ene-3,6-dione (diketone to cis-3ol)",O=[13C]1C[C@H]2C(=O)C[C@H]3[C@@H]4CC[C@H]([C@H](C)C=C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,FKXQMWVVHBPGAM-SBUADZPKSA-N,273,,1
b3,"24-nor-5β-chol-22-ene-3,6-dione (diketone to trans-6ol)",O=[13C]1C[C@@H]3[C@H]4CC[C@@H]([C@@H](C)C=C)[C@]4(C)CC[C@H]3[C@]2(C)CCC(=O)C[C@H]12,FKXQMWVVHBPGAM-ZZVOHZKGSA-N,273,,1
b4,"24-nor-5β-chol-22-ene-3,6-dione (diketone to cis-6ol)",O=[13C]1C[C@H]3[C@@H]4CC[C@H]([C@H](C)C=C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CCC(=O)C[C@@H]12,FKXQMWVVHBPGAM-SSWDLXJHSA-N,273,,1
b13,"24-nor-5β-chol-22-ene-3,6-dione (trans-3ol to trans-6ol)",O=[13C]1C[C@@H]3[C@H]4CC[C@@H]([C@@H](C)C=C)[C@]4(C)CC[C@H]3[C@]2(C)CC[C@H](O)C[C@H]12,GQPXPLNWQRGXOX-CNBRFADUSA-N,273,,1
b14,"24-nor-5β-chol-22-ene-3,6-dione (trans-3ol to cis-6ol)",O=[13C]1C[C@H]3[C@@H]4CC[C@H]([C@H](C)C=C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC[C@@H](O)C[C@@H]12,GQPXPLNWQRGXOX-RQSFXVAFSA-N,273,,1
b23,"24-nor-5β-chol-22-ene-3,6-dione (cis-3ol to trans-6ol)",O=[13C]1C[C@@H]3[C@H]4CC[C@@H]([C@@H](C)C=C)[C@]4(C)CC[C@H]3[C@]2(C)CC[C@@H](O)C[C@H]12,GQPXPLNWQRGXOX-BJCYANKKSA-N,273,,1
b24,"24-nor-5β-chol-22-ene-3,6-dione (cis-3ol to cis-6ol)",O=[13C]1C[C@H]3[C@@H]4CC[C@H]([C@H](C)C=C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC[C@H](O)C[C@@H]12,GQPXPLNWQRGXOX-DVSYPHBRSA-N,273,,1
b31,"24-nor-5β-chol-22-ene-3,6-dione (trans-6ol to trans-3ol)",O=[13C]1C[C@@H]2[C@H](O)C[C@@H]3[C@H]4CC[C@@H]([C@@H](C)C=C)[C@]4(C)CC[C@H]3[C@]2(C)CC1,MTFFDDCFMIWJPC-NOGVDBCPSA-N,273,,1
b32,"24-nor-5β-chol-22-ene-3,6-dione (trans-6ol to cis-3ol)",O=[13C]1C[C@H]2[C@@H](O)C[C@H]3[C@@H]4CC[C@H]([C@H](C)C=C)[C@@]4(C)CC[C@@H]3[C@@]2(C)CC1,MTFFDDCFMIWJPC-XNVXNBRISA-N,273,,1
b41,"24-nor-5β-chol-22-ene-3,6-dione (cis-6ol to trans-3ol)",O=[13C]1C[C@@H]2[C@@H](O)C[C@@H]3[C@H]4CC[C@@H]([C@@H](C)C=C)[C@]4(C)CC[C@H]3[C@]2(C)CC1,MTFFDDCFMIWJPC-XIEGWDQJSA-N,273,,1
