row_index,entry,name,InChIKey,conf_id,boltzmann_weight,cache_file
25,C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,278,0.194557228043398,PJCCSZUMZMCWSX-UHFFFAOYSA-N_conf278.npy
25,C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,55,0.194557228043398,PJCCSZUMZMCWSX-UHFFFAOYSA-N_conf55.npy
25,C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,131,0.1784224764464658,PJCCSZUMZMCWSX-UHFFFAOYSA-N_conf131.npy
25,C4,"1,1-dimethoxy-3-butanone",PJCCSZUMZMCWSX-UHFFFAOYSA-N,409,0.1784224764464658,PJCCSZUMZMCWSX-UHFFFAOYSA-N_conf409.npy
26,C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,312,0.496123836053491,LKENTYLPIUIMFG-UHFFFAOYSA-N_conf312.npy
26,C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,353,0.496123836053491,LKENTYLPIUIMFG-UHFFFAOYSA-N_conf353.npy
26,C6,1-cyclopentylethanone,LKENTYLPIUIMFG-UHFFFAOYSA-N,280,0.007752327893018,LKENTYLPIUIMFG-UHFFFAOYSA-N_conf280.npy
27,B2,5-chloro-1-indanone,MEDSHTHCZIOVPU-UHFFFAOYSA-N,37,1.0,MEDSHTHCZIOVPU-UHFFFAOYSA-N_conf37.npy
28,C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,185,0.4208567250830796,VKCYHJWLYTUGCC-UHFFFAOYSA-N_conf185.npy
28,C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,261,0.4208567250830796,VKCYHJWLYTUGCC-UHFFFAOYSA-N_conf261.npy
28,C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,100,0.0967249485515546,VKCYHJWLYTUGCC-UHFFFAOYSA-N_conf100.npy
28,C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,703,0.0367471944499292,VKCYHJWLYTUGCC-UHFFFAOYSA-N_conf703.npy
28,C5,2-nonanone,VKCYHJWLYTUGCC-UHFFFAOYSA-N,411,0.0248144068323566,VKCYHJWLYTUGCC-UHFFFAOYSA-N_conf411.npy
29,D13(trans),"3,3,5-trimethylcyclohexanone(trans)",POSWICCRDBKBMH-ZETCQYMHSA-N,97,0.996574306173932,POSWICCRDBKBMH-ZETCQYMHSA-N_conf97.npy
29,D13(trans),"3,3,5-trimethylcyclohexanone(trans)",POSWICCRDBKBMH-ZETCQYMHSA-N,325,0.002061750665369,POSWICCRDBKBMH-ZETCQYMHSA-N_conf325.npy
29,D13(trans),"3,3,5-trimethylcyclohexanone(trans)",POSWICCRDBKBMH-ZETCQYMHSA-N,484,0.001363943160699,POSWICCRDBKBMH-ZETCQYMHSA-N_conf484.npy
30,D13(cis),"3,3,5-trimethylcyclohexanone(cis)",POSWICCRDBKBMH-SSDOTTSWSA-N,269,0.996574306173932,POSWICCRDBKBMH-SSDOTTSWSA-N_conf269.npy
30,D13(cis),"3,3,5-trimethylcyclohexanone(cis)",POSWICCRDBKBMH-SSDOTTSWSA-N,143,0.002061750665369,POSWICCRDBKBMH-SSDOTTSWSA-N_conf143.npy
30,D13(cis),"3,3,5-trimethylcyclohexanone(cis)",POSWICCRDBKBMH-SSDOTTSWSA-N,515,0.001363943160699,POSWICCRDBKBMH-SSDOTTSWSA-N_conf515.npy
31,A5,4'-chloroacetophenone,BUZYGTVTZYSBCU-UHFFFAOYSA-N,237,1.0,BUZYGTVTZYSBCU-UHFFFAOYSA-N_conf237.npy
32,A17,"2,2-dimethyl-1-phenylpropan-1-one",OECPUBRNDKXFDX-UHFFFAOYSA-N,323,0.5,OECPUBRNDKXFDX-UHFFFAOYSA-N_conf323.npy
