row_index,entry,name,InChIKey,ddg
72,B8,"10,10-Dimethylanthracen-9(10H)-one",GWFCYDIAPRIMLA-KHWBWMQUSA-N,2.1795873047595022
73,E1(exo),camphor (exo),DSSYKIVIOFKYAU-OMNKOJBGSA-N,2.1697308915268367
74,E1(endo),camphor (endo),DSSYKIVIOFKYAU-MHPPCMCBSA-N,3.146899727358534
75,E3(endo),fenchone (endo),LHXDLQBQYFFVNW-OMNKOJBGSA-N,2.1442643279612725
76,E3(exo),fenchone (exo),LHXDLQBQYFFVNW-MHPPCMCBSA-N,3.700674570202056
77,A25,"2,2,2-triphenylacetophenone",CFBBKHROQRFCNZ-UHFFFAOYSA-N,2.8301120538556637
78,A13,Benzoylacetonitrile,ZJRCIQAMTAINCB-UHFFFAOYSA-N,-2.1129595512688994
79,E5(exo),Bicyclo[2.2.2]hept-5en-2one(exo),HUQXEIFQYCVOPD-RITPCOANSA-N,0.9875977182979492
80,E5(endo),Bicyclo[2.2.2]hept-5en-2one(endo),HUQXEIFQYCVOPD-NTSWFWBYSA-N,-0.7668173414850362
86,C12,dicyclopropyl ketone,BIPUHAHGLJKIPK-UHFFFAOYSA-N,1.8676716423900361
87,C10,6-methyl-5-hepten-2-one,UHEPJGULSIKKTP-UHFFFAOYSA-N,-0.9096373785584596
83,D17,"1,4-Cyclohexanedion monoethyleneketal",VKRKCBWIVLSRBJ-OUBTZVSYSA-N,-2.2666243335044904
163,C9,5-Chloro-2-pentanone,XVRIEWDDMODMGA-UHFFFAOYSA-N,-1.2087555629071842
164,C17,5-methyl-3-heptanone,PSBKJPTZCVYXSD-UHFFFAOYSA-N,0.3876474635333945
