feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
33,"electronic:grid:(-3, 1, 2)",electronic,grid,-3.0,1.0,2.0,-3.1750632654179998,1.058354421806,2.116708843612,3.9599996401752833,0.056413816577047464,True,1.0,0.05656052879429004,0.057246213308090994,0.04826274221757213,0.06261266670991396,0.057246213308090994,1.0,positive,0.17446730245709705,0.15082651186166743,0.44078992206093975,0.056413816577047464
34,"electronic:grid:(-3, 1, 3)",electronic,grid,-3.0,1.0,3.0,-3.1750632654179998,1.058354421806,3.1750632654179998,4.613259971101774,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
35,"electronic:grid:(-3, 2, -2)",electronic,grid,-3.0,2.0,-2.0,-3.1750632654179998,2.116708843612,-2.116708843612,4.363707070445645,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
36,"electronic:grid:(-3, 2, -1)",electronic,grid,-3.0,2.0,-1.0,-3.1750632654179998,2.116708843612,-1.058354421806,3.9599996401752833,-0.1050691567596209,True,1.0,-0.09977324328199823,-0.10401347080019592,-0.11306320227028345,-0.0858164184447674,-0.10401347080019592,1.0,negative,0.2199622452601349,0.17410974246544947,0.617088664270061,0.1050691567596209
37,"electronic:grid:(-3, 2, 1)",electronic,grid,-3.0,2.0,1.0,-3.1750632654179998,2.116708843612,1.058354421806,3.9599996401752833,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
38,"electronic:grid:(-3, 2, 2)",electronic,grid,-3.0,2.0,2.0,-3.1750632654179998,2.116708843612,2.116708843612,4.363707070445645,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
39,"electronic:grid:(-3, 2, 3)",electronic,grid,-3.0,2.0,3.0,-3.1750632654179998,2.116708843612,3.1750632654179998,4.9641222595176755,-0.0,False,0.012048192771084338,-0.0001486835109346872,0.0,0.0,0.0,-0.012340731407579037,1.0,negative,0.0,0.0,0.0,0.0
40,"electronic:grid:(-3, 3, -2)",electronic,grid,-3.0,3.0,-2.0,-3.1750632654179998,3.1750632654179998,-2.116708843612,4.9641222595176755,-0.04892333490713691,True,0.963855421686747,-0.043364017919134315,-0.04836915322106883,-0.05114823993618962,-0.034788518837032774,-0.048569356947811504,1.0,negative,0.14483615969525543,0.11292890092225771,0.3236992760834051,0.0471550215972404
41,"electronic:grid:(-3, 3, -1)",electronic,grid,-3.0,3.0,-1.0,-3.1750632654179998,3.1750632654179998,-1.058354421806,4.613259971101774,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
42,"electronic:grid:(-3, 3, 1)",electronic,grid,-3.0,3.0,1.0,-3.1750632654179998,3.1750632654179998,1.058354421806,4.613259971101774,0.0,False,0.012048192771084338,3.086597000401121e-05,0.0,0.0,0.0,0.0025618755103329308,1.0,positive,0.0,0.0,0.0,0.0
