feature_index,feature,block,kind,x_grid,y_grid,z_grid,x_angstrom,y_angstrom,z_angstrom,radius_angstrom,fulltrain_coefficient,fulltrain_nonzero,outer_selection_frequency,outer_coefficient_mean,outer_coefficient_median_all,outer_coefficient_p16,outer_coefficient_p84,outer_coefficient_median_when_selected,outer_sign_consistency_when_selected,outer_dominant_sign,training_centered_effect_rms_kcal_mol,training_centered_effect_mean_abs_kcal_mol,training_centered_effect_max_abs_kcal_mol,stability_weighted_abs_coefficient
29,"electronic:grid:(-4, 3, 3)",electronic,grid,-4.0,3.0,3.0,-4.233417687224,3.1750632654179998,3.1750632654179998,6.171213721247598,0.0,False,0.060240963855421686,0.0008510836238462197,0.0,0.0,0.0,0.016579537554594296,1.0,positive,0.0,0.0,0.0,0.0
30,"electronic:grid:(-3, 1, -2)",electronic,grid,-3.0,1.0,-2.0,-3.1750632654179998,1.058354421806,-2.116708843612,3.9599996401752833,0.032820207915561214,True,0.9879518072289156,0.031707253277517805,0.032337639754488764,0.027101682719380404,0.03715485964093162,0.032339110101744256,1.0,positive,0.09920907830661047,0.08574283228955562,0.25295802987194416,0.032424783723807464
31,"electronic:grid:(-3, 1, -1)",electronic,grid,-3.0,1.0,-1.0,-3.1750632654179998,1.058354421806,-1.058354421806,3.510164512344035,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
32,"electronic:grid:(-3, 1, 1)",electronic,grid,-3.0,1.0,1.0,-3.1750632654179998,1.058354421806,1.058354421806,3.510164512344035,-0.0,False,0.03614457831325301,-0.0002893785068706541,0.0,0.0,-0.0,-0.007818173447602642,1.0,negative,0.0,0.0,0.0,0.0
33,"electronic:grid:(-3, 1, 2)",electronic,grid,-3.0,1.0,2.0,-3.1750632654179998,1.058354421806,2.116708843612,3.9599996401752833,0.056413816577049455,True,1.0,0.05656052879428971,0.057246213308089565,0.048262742217573235,0.06261266670991457,0.057246213308089565,1.0,positive,0.17446730245710318,0.1508265118616728,0.4407899220609553,0.056413816577049455
34,"electronic:grid:(-3, 1, 3)",electronic,grid,-3.0,1.0,3.0,-3.1750632654179998,1.058354421806,3.1750632654179998,4.613259971101774,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
35,"electronic:grid:(-3, 2, -2)",electronic,grid,-3.0,2.0,-2.0,-3.1750632654179998,2.116708843612,-2.116708843612,4.363707070445645,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
36,"electronic:grid:(-3, 2, -1)",electronic,grid,-3.0,2.0,-1.0,-3.1750632654179998,2.116708843612,-1.058354421806,3.9599996401752833,-0.10506915675962378,True,1.0,-0.09977324328199808,-0.1040134708001949,-0.11306320227028596,-0.08581641844476942,-0.1040134708001949,1.0,negative,0.21996224526014094,0.17410974246545416,0.6170886642700779,0.10506915675962378
37,"electronic:grid:(-3, 2, 1)",electronic,grid,-3.0,2.0,1.0,-3.1750632654179998,2.116708843612,1.058354421806,3.9599996401752833,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
38,"electronic:grid:(-3, 2, 2)",electronic,grid,-3.0,2.0,2.0,-3.1750632654179998,2.116708843612,2.116708843612,4.363707070445645,0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
39,"electronic:grid:(-3, 2, 3)",electronic,grid,-3.0,2.0,3.0,-3.1750632654179998,2.116708843612,3.1750632654179998,4.9641222595176755,-0.0,False,0.012048192771084338,-0.0001486835109346765,0.0,0.0,0.0,-0.012340731407578149,1.0,negative,0.0,0.0,0.0,0.0
40,"electronic:grid:(-3, 3, -2)",electronic,grid,-3.0,3.0,-2.0,-3.1750632654179998,3.1750632654179998,-2.116708843612,4.9641222595176755,-0.04892333490713708,True,0.963855421686747,-0.04336401791913386,-0.04836915322106612,-0.0511482399361904,-0.034788518837034155,-0.048569356947810796,1.0,negative,0.14483615969525596,0.11292890092225809,0.3236992760834062,0.04715502159724056
41,"electronic:grid:(-3, 3, -1)",electronic,grid,-3.0,3.0,-1.0,-3.1750632654179998,3.1750632654179998,-1.058354421806,4.613259971101774,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
42,"electronic:grid:(-3, 3, 1)",electronic,grid,-3.0,3.0,1.0,-3.1750632654179998,3.1750632654179998,1.058354421806,4.613259971101774,0.0,False,0.012048192771084338,3.086597000403728e-05,0.0,0.0,0.0,0.0025618755103350944,1.0,positive,0.0,0.0,0.0,0.0
43,"electronic:grid:(-3, 3, 2)",electronic,grid,-3.0,3.0,2.0,-3.1750632654179998,3.1750632654179998,2.116708843612,4.9641222595176755,-0.0,False,0.18072289156626506,-0.002765464375349146,0.0,-5.744004456860313e-05,-0.0,-0.004946949482744724,1.0,negative,0.0,0.0,0.0,0.0
44,"electronic:grid:(-3, 3, 3)",electronic,grid,-3.0,3.0,3.0,-3.1750632654179998,3.1750632654179998,3.1750632654179998,5.499370892949523,0.0,False,0.012048192771084338,0.00026097096548289385,0.0,0.0,0.0,0.021660590135080187,1.0,positive,0.0,0.0,0.0,0.0
45,"electronic:grid:(-2, 1, -2)",electronic,grid,-2.0,1.0,-2.0,-2.116708843612,1.058354421806,-2.116708843612,3.1750632654179998,-0.0,False,0.012048192771084338,-0.0002548414789874337,0.0,0.0,-0.0,-0.021151842755957,1.0,negative,0.0,0.0,0.0,0.0
46,"electronic:grid:(-2, 1, -1)",electronic,grid,-2.0,1.0,-1.0,-2.116708843612,1.058354421806,-1.058354421806,2.5924283004430175,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
47,"electronic:grid:(-2, 1, 1)",electronic,grid,-2.0,1.0,1.0,-2.116708843612,1.058354421806,1.058354421806,2.5924283004430175,-0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
48,"electronic:grid:(-2, 1, 2)",electronic,grid,-2.0,1.0,2.0,-2.116708843612,1.058354421806,2.116708843612,3.1750632654179998,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
49,"electronic:grid:(-2, 1, 3)",electronic,grid,-2.0,1.0,3.0,-2.116708843612,1.058354421806,3.1750632654179998,3.9599996401752833,-0.0,False,0.060240963855421686,-0.00031311924007141955,0.0,0.0,-0.0,-0.005044403327309743,1.0,negative,0.0,0.0,0.0,0.0
50,"electronic:grid:(-2, 2, -2)",electronic,grid,-2.0,2.0,-2.0,-2.116708843612,2.116708843612,-2.116708843612,3.6662472619663484,0.07184965717670275,True,1.0,0.08117527013949849,0.07558822675652346,0.06582061763068885,0.10340154780729637,0.07558822675652346,1.0,positive,0.1950720041132628,0.15676888852185827,0.5285028076979987,0.07184965717670275
51,"electronic:grid:(-2, 2, -1)",electronic,grid,-2.0,2.0,-1.0,-2.116708843612,2.116708843612,-1.058354421806,3.1750632654179998,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
52,"electronic:grid:(-2, 2, 1)",electronic,grid,-2.0,2.0,1.0,-2.116708843612,2.116708843612,1.058354421806,3.1750632654179998,0.01237281590875829,True,0.6626506024096386,0.01143623980091208,0.009966995384698267,0.0,0.02061640718547516,0.01413716326380355,1.0,positive,0.014855748393013318,0.011460824456178301,0.03751398977144061,0.00819885391544224
53,"electronic:grid:(-2, 2, 2)",electronic,grid,-2.0,2.0,2.0,-2.116708843612,2.116708843612,2.116708843612,3.6662472619663484,0.2214367876428689,True,1.0,0.20995813566192822,0.21569539014891087,0.1846435442339775,0.22514568484898684,0.21569539014891087,1.0,positive,0.5889630549926703,0.4716042634903347,1.6015256293058608,0.2214367876428689
54,"electronic:grid:(-2, 2, 3)",electronic,grid,-2.0,2.0,3.0,-2.116708843612,2.116708843612,3.1750632654179998,4.363707070445645,-0.0,False,0.03614457831325301,-0.0003898488475218649,0.0,0.0,-0.0,-0.015503817122104184,1.0,negative,0.0,0.0,0.0,0.0
55,"electronic:grid:(-2, 3, -2)",electronic,grid,-2.0,3.0,-2.0,-2.116708843612,3.1750632654179998,-2.116708843612,4.363707070445645,0.06345162357896836,True,1.0,0.06008727553547983,0.06136205469661275,0.05397979723365836,0.06873929803217597,0.06136205469661275,1.0,positive,0.14558939041974966,0.11186743673465667,0.32701126103643674,0.06345162357896836
56,"electronic:grid:(-2, 3, -1)",electronic,grid,-2.0,3.0,-1.0,-2.116708843612,3.1750632654179998,-1.058354421806,3.9599996401752833,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
57,"electronic:grid:(-2, 3, 1)",electronic,grid,-2.0,3.0,1.0,-2.116708843612,3.1750632654179998,1.058354421806,3.9599996401752833,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
58,"electronic:grid:(-2, 3, 2)",electronic,grid,-2.0,3.0,2.0,-2.116708843612,3.1750632654179998,2.116708843612,4.363707070445645,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
59,"electronic:grid:(-2, 3, 3)",electronic,grid,-2.0,3.0,3.0,-2.116708843612,3.1750632654179998,3.1750632654179998,4.9641222595176755,0.0,False,0.012048192771084338,0.00011398164816900787,0.0,0.0,0.0,0.009460476798027653,1.0,positive,0.0,0.0,0.0,0.0
60,"electronic:grid:(-1, 1, -2)",electronic,grid,-1.0,1.0,-2.0,-1.058354421806,1.058354421806,-2.116708843612,2.5924283004430175,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
61,"electronic:grid:(-1, 1, -1)",electronic,grid,-1.0,1.0,-1.0,-1.058354421806,1.058354421806,-1.058354421806,1.8331236309831742,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
62,"electronic:grid:(-1, 1, 1)",electronic,grid,-1.0,1.0,1.0,-1.058354421806,1.058354421806,1.058354421806,1.8331236309831742,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
63,"electronic:grid:(-1, 1, 2)",electronic,grid,-1.0,1.0,2.0,-1.058354421806,1.058354421806,2.116708843612,2.5924283004430175,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
64,"electronic:grid:(-1, 1, 3)",electronic,grid,-1.0,1.0,3.0,-1.058354421806,1.058354421806,3.1750632654179998,3.510164512344035,0.0,False,0.024096385542168676,0.00031005913580533606,0.0,0.0,0.0,0.012867454135921446,1.0,positive,0.0,0.0,0.0,0.0
65,"electronic:grid:(-1, 2, -2)",electronic,grid,-1.0,2.0,-2.0,-1.058354421806,2.116708843612,-2.116708843612,3.1750632654179998,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
66,"electronic:grid:(-1, 2, -1)",electronic,grid,-1.0,2.0,-1.0,-1.058354421806,2.116708843612,-1.058354421806,2.5924283004430175,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
67,"electronic:grid:(-1, 2, 1)",electronic,grid,-1.0,2.0,1.0,-1.058354421806,2.116708843612,1.058354421806,2.5924283004430175,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
68,"electronic:grid:(-1, 2, 2)",electronic,grid,-1.0,2.0,2.0,-1.058354421806,2.116708843612,2.116708843612,3.1750632654179998,-0.0,False,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
69,"electronic:grid:(-1, 2, 3)",electronic,grid,-1.0,2.0,3.0,-1.058354421806,2.116708843612,3.1750632654179998,3.9599996401752833,0.0,False,0.024096385542168676,0.00046057873183433056,0.0,0.0,0.0,0.01911401737112472,1.0,positive,0.0,0.0,0.0,0.0
70,"electronic:grid:(-1, 3, -2)",electronic,grid,-1.0,3.0,-2.0,-1.058354421806,3.1750632654179998,-2.116708843612,3.9599996401752833,0.0,False,0.26506024096385544,0.0020125307969537905,0.0,0.0,0.0033448300297057964,0.005328727998976551,1.0,positive,0.0,0.0,0.0,0.0
71,"electronic:grid:(-1, 3, -1)",electronic,grid,-1.0,3.0,-1.0,-1.058354421806,3.1750632654179998,-1.058354421806,3.510164512344035,-0.08054811820435726,True,1.0,-0.08106591749633689,-0.08010985235081697,-0.09526755302588945,-0.07038284482135798,-0.08010985235081697,1.0,negative,0.2077857198479941,0.17364643965487617,0.5275027546343248,0.08054811820435726
72,"electronic:grid:(-1, 3, 1)",electronic,grid,-1.0,3.0,1.0,-1.058354421806,3.1750632654179998,1.058354421806,3.510164512344035,-0.0,False,0.024096385542168676,-0.00012602565984416288,0.0,0.0,-0.0,-0.0052300648835327595,1.0,negative,0.0,0.0,0.0,0.0
73,"electronic:grid:(-1, 3, 2)",electronic,grid,-1.0,3.0,2.0,-1.058354421806,3.1750632654179998,2.116708843612,3.9599996401752833,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
74,"electronic:grid:(-1, 3, 3)",electronic,grid,-1.0,3.0,3.0,-1.058354421806,3.1750632654179998,3.1750632654179998,4.613259971101774,0.1513268112078794,True,1.0,0.147415224582801,0.14941980077282568,0.14198017534657376,0.15446568137331151,0.14941980077282568,1.0,positive,0.29888173351317004,0.23797251817528783,0.9208204050088672,0.1513268112078794
75,"electronic:grid:(1, 1, -2)",electronic,grid,1.0,1.0,-2.0,1.058354421806,1.058354421806,-2.116708843612,2.5924283004430175,0.07055555001469974,True,1.0,0.06709474010442758,0.06797103694570839,0.05363667388493221,0.0793650794022147,0.06797103694570839,1.0,positive,0.07815575979214186,0.0561239754811811,0.2997453699087862,0.07055555001469974
76,"electronic:grid:(1, 1, -1)",electronic,grid,1.0,1.0,-1.0,1.058354421806,1.058354421806,-1.058354421806,1.8331236309831742,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,not_selected,0.0,0.0,0.0,0.0
