entry,name,InChIKey,electronic_centered_grid_contribution,electronic_centered_total_contribution,electrostatic_centered_grid_contribution,electrostatic_centered_total_contribution,orbital_centered_grid_contribution,orbital_centered_total_contribution
D15,"3,3,5,5-tetramethylcyclohexan-1-one",OQJMHUOCLRCSED-HOSYLAQJSA-N,-0.9667112706986104,-0.9364864327890701,0.9399693510349216,1.1083169896917429,-0.014544279876315153,-0.014544279876315153
A1,acetophenone,KWOLFJPFCHCOCG-UHFFFAOYSA-N,0.06676346518539354,0.05452636512425776,0.02414749516740341,0.18617854043724708,-0.1203232281094288,-0.1203232281094288
A16,isobutyrophenone,BSMGLVDZZMBWQB-UHFFFAOYSA-N,0.17179960435996453,0.1595625158331201,0.3354921492696573,0.21437428948680215,0.0035269691405387165,0.0035269691405387165
A7,3'-methylacetophenone,FSPSELPMWGWDRY-UHFFFAOYSA-N,0.036451328693468024,0.024214705675472046,0.022900404169687597,0.23640291334969604,-0.09337947757619555,-0.09337947757619555
A8,3'-methoxyacetophenone,BAYUSCHCCGXLAY-UHFFFAOYSA-N,0.014023788568406857,0.0018888768362528494,0.11414869517030073,0.0322400403996113,0.01908672381826289,0.01908672381826289
B1,1-indanone,QNXSIUBBGPHDDE-UHFFFAOYSA-N,0.8179129662707398,0.8056781761272392,-0.8420537036936462,-0.6655863624866392,0.06195661203409355,0.06195661203409355
A14,propiophenone,KRIOVPPHQSLHCZ-UHFFFAOYSA-N,0.44457228194270476,0.4323351800810994,-0.4500459993280067,-0.24931140038513175,-0.13816917000340387,-0.13816917000340387
A20,cyclobutyl phenyl ketone,MVEBDOSCXOQNAR-UHFFFAOYSA-N,0.16098603068811923,0.14874964152348297,0.15903016776866785,0.36082053328149133,-0.13810997671916395,-0.13810997671916395
B3,1-tetralone,XHLHPRDBBAGVEG-UHFFFAOYSA-N,0.6811045286093218,0.6689219187636728,-0.3913376746597,-0.2654396452425135,0.003947655935978667,0.003947655935978667
A23,cyclohexyl phenyl ketone,BMFYCFSWWDXEPB-UHFFFAOYSA-N,0.399947943143559,0.38771085169969577,0.07615268963112076,0.028522074611616856,-0.010940530321181679,-0.010940530321181679
A19,valerophenone,XKGLSKVNOSHTAD-UHFFFAOYSA-N,0.8977741625051479,0.8855370599432016,-0.13162668667405272,-0.24796152047063014,0.0011037050893153797,0.0011037050893153797
A15,butyrophenone,FFSAXUULYPJSKH-UHFFFAOYSA-N,0.860135551857778,0.8478984503844395,-0.15677368546368647,-0.26091264415460214,0.0015022044213418816,0.0015022044213418816
